Cohort,Geography,Gender,Percentage,,
50 to 54 years,East Kootenay C,Men+,-3.4%,,
55 to 59 years,East Kootenay C,Men+,-4.7%,,
60 to 64 years,East Kootenay C,Men+,-4.8%,,
65 to 69 years,East Kootenay C,Men+,-5.0%,,
70 to 74 years,East Kootenay C,Men+,-3.5%,,
75 to 79 years,East Kootenay C,Men+,-2.0%,,
80 to 84 years,East Kootenay C,Men+,-1.1%,,
85 to 89 years,East Kootenay C,Men+,-0.5%,,
90 to 94 years,East Kootenay C,Men+,-0.1%,,
95 to 99 years,East Kootenay C,Men+,0.0%,,
100 years and over,East Kootenay C,Men+,0.0%,,
0 to 4 years,East Kootenay E,Men+,-1.8%,,
5 to 9 years,East Kootenay E,Men+,-1.8%,,
10 to 14 years,East Kootenay E,Men+,-2.4%,,
15 to 19 years,East Kootenay E,Men+,-2.1%,,
20 to 24 years,East Kootenay E,Men+,-1.8%,,
25 to 29 years,East Kootenay E,Men+,-1.2%,,
30 to 34 years,East Kootenay E,Men+,-2.4%,,
35 to 39 years,East Kootenay E,Men+,-3.0%,,
40 to 44 years,East Kootenay E,Men+,-3.3%,,
45 to 49 years,East Kootenay E,Men+,-2.7%,,
50 to 54 years,East Kootenay E,Men+,-4.2%,,
55 to 59 years,East Kootenay E,Men+,-4.2%,,
60 to 64 years,East Kootenay E,Men+,-5.7%,,
65 to 69 years,East Kootenay E,Men+,-5.7%,,
70 to 74 years,East Kootenay E,Men+,-5.1%,,
75 to 79 years,East Kootenay E,Men+,-3.3%,,
80 to 84 years,East Kootenay E,Men+,-1.2%,,
85 to 89 years,East Kootenay E,Men+,-0.6%,,
90 to 94 years,East Kootenay E,Men+,-0.3%,,
95 to 99 years,East Kootenay E,Men+,0.0%,,
100 years and over,East Kootenay E,Men+,0.0%,,
0 to 4 years,East Kootenay F,Men+,-1.8%,,
5 to 9 years,East Kootenay F,Men+,-2.0%,,
10 to 14 years,East Kootenay F,Men+,-1.8%,,
15 to 19 years,East Kootenay F,Men+,-2.0%,,
20 to 24 years,East Kootenay F,Men+,-2.4%,,
25 to 29 years,East Kootenay F,Men+,-2.4%,,
30 to 34 years,East Kootenay F,Men+,-2.1%,,
35 to 39 years,East Kootenay F,Men+,-2.4%,,
40 to 44 years,East Kootenay F,Men+,-2.6%,,
45 to 49 years,East Kootenay F,Men+,-3.0%,,
50 to 54 years,East Kootenay F,Men+,-2.4%,,
55 to 59 years,East Kootenay F,Men+,-3.8%,,
60 to 64 years,East Kootenay F,Men+,-5.8%,,
65 to 69 years,East Kootenay F,Men+,-5.4%,,
70 to 74 years,East Kootenay F,Men+,-4.7%,,
75 to 79 years,East Kootenay F,Men+,-3.4%,,
80 to 84 years,East Kootenay F,Men+,-1.7%,,
85 to 89 years,East Kootenay F,Men+,-0.9%,,
90 to 94 years,East Kootenay F,Men+,-0.4%,,
95 to 99 years,East Kootenay F,Men+,0.0%,,
100 years and over,East Kootenay F,Men+,0.0%,,
0 to 4 years,East Kootenay G,Men+,-2.1%,,
5 to 9 years,East Kootenay G,Men+,-2.7%,,
10 to 14 years,East Kootenay G,Men+,-2.7%,,
15 to 19 years,East Kootenay G,Men+,-1.8%,,
20 to 24 years,East Kootenay G,Men+,-1.2%,,
25 to 29 years,East Kootenay G,Men+,-1.8%,,
30 to 34 years,East Kootenay G,Men+,-2.4%,,
35 to 39 years,East Kootenay G,Men+,-3.6%,,
40 to 44 years,East Kootenay G,Men+,-3.0%,,
45 to 49 years,East Kootenay G,Men+,-2.7%,,
50 to 54 years,East Kootenay G,Men+,-3.0%,,
55 to 59 years,East Kootenay G,Men+,-5.4%,,
60 to 64 years,East Kootenay G,Men+,-5.4%,,
65 to 69 years,East Kootenay G,Men+,-5.7%,,
70 to 74 years,East Kootenay G,Men+,-3.6%,,
75 to 79 years,East Kootenay G,Men+,-1.5%,,
80 to 84 years,East Kootenay G,Men+,-1.5%,,
85 to 89 years,East Kootenay G,Men+,-0.3%,,
90 to 94 years,East Kootenay G,Men+,-0.3%,,
95 to 99 years,East Kootenay G,Men+,0.0%,,
100 years and over,East Kootenay G,Men+,0.0%,,
0 to 4 years,Elkford,Men+,-2.7%,,
5 to 9 years,Elkford,Men+,-4.7%,,
10 to 14 years,Elkford,Men+,-4.5%,,
15 to 19 years,Elkford,Men+,-2.7%,,
20 to 24 years,Elkford,Men+,-2.2%,,
25 to 29 years,Elkford,Men+,-2.5%,,
30 to 34 years,Elkford,Men+,-3.8%,,
35 to 39 years,Elkford,Men+,-4.2%,,
40 to 44 years,Elkford,Men+,-4.5%,,
45 to 49 years,Elkford,Men+,-3.5%,,
50 to 54 years,Elkford,Men+,-3.6%,,
55 to 59 years,Elkford,Men+,-3.3%,,
60 to 64 years,Elkford,Men+,-4.2%,,
65 to 69 years,Elkford,Men+,-3.6%,,
70 to 74 years,Elkford,Men+,-2.2%,,
75 to 79 years,Elkford,Men+,-0.7%,,
80 to 84 years,Elkford,Men+,-0.2%,,
85 to 89 years,Elkford,Men+,0.0%,,
90 to 94 years,Elkford,Men+,0.0%,,
95 to 99 years,Elkford,Men+,0.0%,,
100 years and over,Elkford,Men+,0.0%,,
0 to 4 years,Fernie,Men+,-2.5%,,
5 to 9 years,Fernie,Men+,-3.3%,,
10 to 14 years,Fernie,Men+,-2.9%,,
15 to 19 years,Fernie,Men+,-1.9%,,
20 to 24 years,Fernie,Men+,-2.1%,,
25 to 29 years,Fernie,Men+,-3.9%,,
30 to 34 years,Fernie,Men+,-4.8%,,
35 to 39 years,Fernie,Men+,-5.1%,,
40 to 44 years,Fernie,Men+,-4.1%,,
45 to 49 years,Fernie,Men+,-3.4%,,
50 to 54 years,Fernie,Men+,-2.9%,,
55 to 59 years,Fernie,Men+,-2.6%,,
60 to 64 years,Fernie,Men+,-3.1%,,
65 to 69 years,Fernie,Men+,-2.7%,,
70 to 74 years,Fernie,Men+,-2.1%,,
75 to 79 years,Fernie,Men+,-1.0%,,
80 to 84 years,Fernie,Men+,-0.8%,,
85 to 89 years,Fernie,Men+,-0.3%,,
90 to 94 years,Fernie,Men+,0.0%,,
95 to 99 years,Fernie,Men+,0.0%,,
100 years and over,Fernie,Men+,0.0%,,
0 to 4 years,Fraser-Fort George,Men+,-2.5%,,
5 to 9 years,Fraser-Fort George,Men+,-3.0%,,
10 to 14 years,Fraser-Fort George,Men+,-3.2%,,
15 to 19 years,Fraser-Fort George,Men+,-3.0%,,
20 to 24 years,Fraser-Fort George,Men+,-3.2%,,
25 to 29 years,Fraser-Fort George,Men+,-3.6%,,
30 to 34 years,Fraser-Fort George,Men+,-3.6%,,
35 to 39 years,Fraser-Fort George,Men+,-3.5%,,
40 to 44 years,Fraser-Fort George,Men+,-3.1%,,
45 to 49 years,Fraser-Fort George,Men+,-3.1%,,
50 to 54 years,Fraser-Fort George,Men+,-3.3%,,
55 to 59 years,Fraser-Fort George,Men+,-3.6%,,
60 to 64 years,Fraser-Fort George,Men+,-3.6%,,
65 to 69 years,Fraser-Fort George,Men+,-2.9%,,
70 to 74 years,Fraser-Fort George,Men+,-2.3%,,
75 to 79 years,Fraser-Fort George,Men+,-1.5%,,
80 to 84 years,Fraser-Fort George,Men+,-0.8%,,
85 to 89 years,Fraser-Fort George,Men+,-0.4%,,
90 to 94 years,Fraser-Fort George,Men+,-0.1%,,
95 to 99 years,Fraser-Fort George,Men+,0.0%,,
100 years and over,Fraser-Fort George,Men+,0.0%,,
0 to 4 years,Fraser-Fort George H,Men+,-3.1%,,
5 to 9 years,Fraser-Fort George H,Men+,-2.5%,,
10 to 14 years,Fraser-Fort George H,Men+,-1.9%,,
15 to 19 years,Fraser-Fort George H,Men+,-1.9%,,
20 to 24 years,Fraser-Fort George H,Men+,-1.6%,,
25 to 29 years,Fraser-Fort George H,Men+,-2.2%,,
30 to 34 years,Fraser-Fort George H,Men+,-2.8%,,
35 to 39 years,Fraser-Fort George H,Men+,-3.1%,,
40 to 44 years,Fraser-Fort George H,Men+,-2.2%,,
45 to 49 years,Fraser-Fort George H,Men+,-3.1%,,
50 to 54 years,Fraser-Fort George H,Men+,-3.4%,,
55 to 59 years,Fraser-Fort George H,Men+,-3.4%,,
60 to 64 years,Fraser-Fort George H,Men+,-5.0%,,
65 to 69 years,Fraser-Fort George H,Men+,-6.3%,,
70 to 74 years,Fraser-Fort George H,Men+,-3.4%,,
75 to 79 years,Fraser-Fort George H,Men+,-2.8%,,
80 to 84 years,Fraser-Fort George H,Men+,-1.3%,,
85 to 89 years,Fraser-Fort George H,Men+,-0.9%,,
90 to 94 years,Fraser-Fort George H,Men+,-0.3%,,
95 to 99 years,Fraser-Fort George H,Men+,0.0%,,
100 years and over,Fraser-Fort George H,Men+,0.0%,,
0 to 4 years,Fruitvale,Men+,-1.8%,,
5 to 9 years,Fruitvale,Men+,-2.5%,,
10 to 14 years,Fruitvale,Men+,-2.5%,,
15 to 19 years,Fruitvale,Men+,-2.0%,,
20 to 24 years,Fruitvale,Men+,-2.3%,,
25 to 29 years,Fruitvale,Men+,-3.8%,,
30 to 34 years,Fruitvale,Men+,-2.3%,,
35 to 39 years,Fruitvale,Men+,-3.5%,,
40 to 44 years,Fruitvale,Men+,-2.8%,,
45 to 49 years,Fruitvale,Men+,-2.0%,,
50 to 54 years,Fruitvale,Men+,-3.0%,,
55 to 59 years,Fruitvale,Men+,-3.3%,,
60 to 64 years,Fruitvale,Men+,-4.6%,,
65 to 69 years,Fruitvale,Men+,-4.6%,,
70 to 74 years,Fruitvale,Men+,-3.3%,,
75 to 79 years,Fruitvale,Men+,-2.8%,,
80 to 84 years,Fruitvale,Men+,-1.0%,,
85 to 89 years,Fruitvale,Men+,-0.5%,,
90 to 94 years,Fruitvale,Men+,-0.8%,,
95 to 99 years,Fruitvale,Men+,0.0%,,
100 years and over,Fruitvale,Men+,0.0%,,
0 to 4 years,Golden,Men+,-2.9%,,
5 to 9 years,Golden,Men+,-2.8%,,
10 to 14 years,Golden,Men+,-2.4%,,
15 to 19 years,Golden,Men+,-2.1%,,
20 to 24 years,Golden,Men+,-3.0%,,
25 to 29 years,Golden,Men+,-3.9%,,
30 to 34 years,Golden,Men+,-4.4%,,
35 to 39 years,Golden,Men+,-4.4%,,
40 to 44 years,Golden,Men+,-4.6%,,
45 to 49 years,Golden,Men+,-3.5%,,
50 to 54 years,Golden,Men+,-2.4%,,
55 to 59 years,Golden,Men+,-2.9%,,
60 to 64 years,Golden,Men+,-3.5%,,
65 to 69 years,Golden,Men+,-3.0%,,
70 to 74 years,Golden,Men+,-2.4%,,
75 to 79 years,Golden,Men+,-1.0%,,
80 to 84 years,Golden,Men+,-0.4%,,
85 to 89 years,Golden,Men+,-0.4%,,
90 to 94 years,Golden,Men+,-0.3%,,
95 to 99 years,Golden,Men+,-0.1%,,
100 years and over,Golden,Men+,0.0%,,
0 to 4 years,Grand Forks,Men+,-1.3%,,
5 to 9 years,Grand Forks,Men+,-2.1%,,
10 to 14 years,Grand Forks,Men+,-2.9%,,
15 to 19 years,Grand Forks,Men+,-2.4%,,
20 to 24 years,Grand Forks,Men+,-1.9%,,
25 to 29 years,Grand Forks,Men+,-2.3%,,
30 to 34 years,Grand Forks,Men+,-2.5%,,
35 to 39 years,Grand Forks,Men+,-2.1%,,
40 to 44 years,Grand Forks,Men+,-2.2%,,
45 to 49 years,Grand Forks,Men+,-2.4%,,
50 to 54 years,Grand Forks,Men+,-2.7%,,
55 to 59 years,Grand Forks,Men+,-3.5%,,
60 to 64 years,Grand Forks,Men+,-4.1%,,
65 to 69 years,Grand Forks,Men+,-4.1%,,
70 to 74 years,Grand Forks,Men+,-4.0%,,
75 to 79 years,Grand Forks,Men+,-3.4%,,
80 to 84 years,Grand Forks,Men+,-2.2%,,
85 to 89 years,Grand Forks,Men+,-1.3%,,
90 to 94 years,Grand Forks,Men+,-0.7%,,
95 to 99 years,Grand Forks,Men+,-0.1%,,
100 years and over,Grand Forks,Men+,0.0%,,
0 to 4 years,Greenwood,Men+,-2.1%,,
5 to 9 years,Greenwood,Men+,-1.4%,,
10 to 14 years,Greenwood,Men+,-1.4%,,
15 to 19 years,Greenwood,Men+,-2.8%,,
20 to 24 years,Greenwood,Men+,-1.4%,,
25 to 29 years,Greenwood,Men+,-0.7%,,
30 to 34 years,Greenwood,Men+,-2.1%,,
35 to 39 years,Greenwood,Men+,-1.4%,,
40 to 44 years,Greenwood,Men+,-1.4%,,
45 to 49 years,Greenwood,Men+,-2.8%,,
50 to 54 years,Greenwood,Men+,-2.8%,,
55 to 59 years,Greenwood,Men+,-4.2%,,
60 to 64 years,Greenwood,Men+,-6.3%,,
65 to 69 years,Greenwood,Men+,-7.0%,,
70 to 74 years,Greenwood,Men+,-7.0%,,
75 to 79 years,Greenwood,Men+,-4.2%,,
80 to 84 years,Greenwood,Men+,-2.1%,,
85 to 89 years,Greenwood,Men+,-1.4%,,
90 to 94 years,Greenwood,Men+,-0.7%,,
95 to 99 years,Greenwood,Men+,0.0%,,
100 years and over,Greenwood,Men+,0.0%,,
0 to 4 years,Invermere,Men+,-2.4%,,
5 to 9 years,Invermere,Men+,-2.9%,,
10 to 14 years,Invermere,Men+,-3.2%,,
15 to 19 years,Invermere,Men+,-2.7%,,
20 to 24 years,Invermere,Men+,-2.5%,,
25 to 29 years,Invermere,Men+,-2.3%,,
30 to 34 years,Invermere,Men+,-2.3%,,
35 to 39 years,Invermere,Men+,-3.9%,,
40 to 44 years,Invermere,Men+,-3.6%,,
45 to 49 years,Invermere,Men+,-3.1%,,
50 to 54 years,Invermere,Men+,-2.7%,,
55 to 59 years,Invermere,Men+,-3.3%,,
60 to 64 years,Invermere,Men+,-2.5%,,
65 to 69 years,Invermere,Men+,-3.4%,,
70 to 74 years,Invermere,Men+,-3.1%,,
75 to 79 years,Invermere,Men+,-1.5%,,
80 to 84 years,Invermere,Men+,-1.3%,,
85 to 89 years,Invermere,Men+,-1.0%,,
90 to 94 years,Invermere,Men+,-0.4%,,
95 to 99 years,Invermere,Men+,-0.1%,,
100 years and over,Invermere,Men+,-0.1%,,
0 to 4 years,Kaslo,Men+,-1.4%,,
5 to 9 years,Kaslo,Men+,-2.4%,,
10 to 14 years,Kaslo,Men+,-2.9%,,
15 to 19 years,Kaslo,Men+,-2.4%,,
20 to 24 years,Kaslo,Men+,-1.0%,,
25 to 29 years,Kaslo,Men+,-1.0%,,
30 to 34 years,Kaslo,Men+,-2.4%,,
35 to 39 years,Kaslo,Men+,-2.4%,,
40 to 44 years,Kaslo,Men+,-2.9%,,
45 to 49 years,Kaslo,Men+,-2.4%,,
50 to 54 years,Kaslo,Men+,-3.3%,,
55 to 59 years,Kaslo,Men+,-3.3%,,
60 to 64 years,Kaslo,Men+,-4.3%,,
65 to 69 years,Kaslo,Men+,-5.2%,,
70 to 74 years,Kaslo,Men+,-6.2%,,
75 to 79 years,Kaslo,Men+,-2.9%,,
80 to 84 years,Kaslo,Men+,-1.9%,,
85 to 89 years,Kaslo,Men+,-1.0%,,
90 to 94 years,Kaslo,Men+,-0.5%,,
95 to 99 years,Kaslo,Men+,0.0%,,
100 years and over,Kaslo,Men+,0.0%,,
0 to 4 years,Kimberley,Men+,-2.1%,,
5 to 9 years,Kimberley,Men+,-2.6%,,
10 to 14 years,Kimberley,Men+,-3.6%,,
15 to 19 years,Kimberley,Men+,-2.5%,,
20 to 24 years,Kimberley,Men+,-1.8%,,
25 to 29 years,Kimberley,Men+,-1.9%,,
30 to 34 years,Kimberley,Men+,-3.1%,,
35 to 39 years,Kimberley,Men+,-3.7%,,
40 to 44 years,Kimberley,Men+,-3.5%,,
45 to 49 years,Kimberley,Men+,-3.4%,,
50 to 54 years,Kimberley,Men+,-2.9%,,
55 to 59 years,Kimberley,Men+,-3.0%,,
60 to 64 years,Kimberley,Men+,-3.6%,,
65 to 69 years,Kimberley,Men+,-3.8%,,
70 to 74 years,Kimberley,Men+,-3.5%,,
75 to 79 years,Kimberley,Men+,-2.1%,,
80 to 84 years,Kimberley,Men+,-1.2%,,
85 to 89 years,Kimberley,Men+,-0.6%,,
90 to 94 years,Kimberley,Men+,-0.2%,,
95 to 99 years,Kimberley,Men+,-0.1%,,
100 years and over,Kimberley,Men+,0.0%,,
0 to 4 years,Kootenay Boundary,Men+,-1.8%,,
5 to 9 years,Kootenay Boundary,Men+,-2.5%,,
10 to 14 years,Kootenay Boundary,Men+,-2.5%,,
15 to 19 years,Kootenay Boundary,Men+,-2.3%,,
20 to 24 years,Kootenay Boundary,Men+,-2.1%,,
25 to 29 years,Kootenay Boundary,Men+,-2.6%,,
30 to 34 years,Kootenay Boundary,Men+,-2.6%,,
35 to 39 years,Kootenay Boundary,Men+,-3.0%,,
40 to 44 years,Kootenay Boundary,Men+,-2.7%,,
45 to 49 years,Kootenay Boundary,Men+,-2.9%,,
50 to 54 years,Kootenay Boundary,Men+,-3.0%,,
55 to 59 years,Kootenay Boundary,Men+,-3.5%,,
60 to 64 years,Kootenay Boundary,Men+,-4.8%,,
65 to 69 years,Kootenay Boundary,Men+,-4.7%,,
70 to 74 years,Kootenay Boundary,Men+,-3.8%,,
75 to 79 years,Kootenay Boundary,Men+,-2.5%,,
80 to 84 years,Kootenay Boundary,Men+,-1.4%,,
85 to 89 years,Kootenay Boundary,Men+,-0.7%,,
90 to 94 years,Kootenay Boundary,Men+,-0.3%,,
95 to 99 years,Kootenay Boundary,Men+,0.0%,,
100 years and over,Kootenay Boundary,Men+,0.0%,,
0 to 4 years,Kootenay Boundary A,Men+,-1.9%,,
5 to 9 years,Kootenay Boundary A,Men+,-2.2%,,
10 to 14 years,Kootenay Boundary A,Men+,-2.8%,,
15 to 19 years,Kootenay Boundary A,Men+,-2.5%,,
20 to 24 years,Kootenay Boundary A,Men+,-1.9%,,
25 to 29 years,Kootenay Boundary A,Men+,-2.2%,,
30 to 34 years,Kootenay Boundary A,Men+,-3.1%,,
35 to 39 years,Kootenay Boundary A,Men+,-3.7%,,
40 to 44 years,Kootenay Boundary A,Men+,-2.8%,,
45 to 49 years,Kootenay Boundary A,Men+,-3.4%,,
50 to 54 years,Kootenay Boundary A,Men+,-3.7%,,
55 to 59 years,Kootenay Boundary A,Men+,-4.0%,,
60 to 64 years,Kootenay Boundary A,Men+,-5.2%,,
65 to 69 years,Kootenay Boundary A,Men+,-5.6%,,
70 to 74 years,Kootenay Boundary A,Men+,-3.1%,,
75 to 79 years,Kootenay Boundary A,Men+,-1.2%,,
80 to 84 years,Kootenay Boundary A,Men+,-0.9%,,
85 to 89 years,Kootenay Boundary A,Men+,-0.9%,,
90 to 94 years,Kootenay Boundary A,Men+,-0.3%,,
95 to 99 years,Kootenay Boundary A,Men+,0.0%,,
100 years and over,Kootenay Boundary A,Men+,0.0%,,
0 to 4 years,Kootenay Boundary B,Men+,-1.8%,,
5 to 9 years,Kootenay Boundary B,Men+,-2.1%,,
10 to 14 years,Kootenay Boundary B,Men+,-1.4%,,
15 to 19 years,Kootenay Boundary B,Men+,-1.4%,,
20 to 24 years,Kootenay Boundary B,Men+,-1.4%,,
25 to 29 years,Kootenay Boundary B,Men+,-2.5%,,
30 to 34 years,Kootenay Boundary B,Men+,-2.8%,,
35 to 39 years,Kootenay Boundary B,Men+,-2.8%,,
40 to 44 years,Kootenay Boundary B,Men+,-2.1%,,
45 to 49 years,Kootenay Boundary B,Men+,-2.5%,,
50 to 54 years,Kootenay Boundary B,Men+,-3.2%,,
55 to 59 years,Kootenay Boundary B,Men+,-4.3%,,
60 to 64 years,Kootenay Boundary B,Men+,-7.4%,,
65 to 69 years,Kootenay Boundary B,Men+,-5.3%,,
70 to 74 years,Kootenay Boundary B,Men+,-4.6%,,
75 to 79 years,Kootenay Boundary B,Men+,-2.5%,,
80 to 84 years,Kootenay Boundary B,Men+,-1.4%,,
85 to 89 years,Kootenay Boundary B,Men+,-0.4%,,
90 to 94 years,Kootenay Boundary B,Men+,-0.4%,,
95 to 99 years,Kootenay Boundary B,Men+,0.0%,,
100 years and over,Kootenay Boundary B,Men+,0.0%,,
0 to 4 years,Kootenay Boundary C,Men+,-0.9%,,
5 to 9 years,Kootenay Boundary C,Men+,-1.2%,,
10 to 14 years,Kootenay Boundary C,Men+,-2.5%,,
15 to 19 years,Kootenay Boundary C,Men+,-1.8%,,
20 to 24 years,Kootenay Boundary C,Men+,-1.5%,,
25 to 29 years,Kootenay Boundary C,Men+,-1.2%,,
30 to 34 years,Kootenay Boundary C,Men+,-1.5%,,
35 to 39 years,Kootenay Boundary C,Men+,-2.5%,,
40 to 44 years,Kootenay Boundary C,Men+,-1.8%,,
45 to 49 years,Kootenay Boundary C,Men+,-3.4%,,
50 to 54 years,Kootenay Boundary C,Men+,-2.8%,,
55 to 59 years,Kootenay Boundary C,Men+,-4.3%,,
60 to 64 years,Kootenay Boundary C,Men+,-5.8%,,
65 to 69 years,Kootenay Boundary C,Men+,-7.1%,,
70 to 74 years,Kootenay Boundary C,Men+,-5.2%,,
75 to 79 years,Kootenay Boundary C,Men+,-3.7%,,
80 to 84 years,Kootenay Boundary C,Men+,-1.5%,,
85 to 89 years,Kootenay Boundary C,Men+,-0.9%,,
90 to 94 years,Kootenay Boundary C,Men+,-0.3%,,
95 to 99 years,Kootenay Boundary C,Men+,0.0%,,
100 years and over,Kootenay Boundary C,Men+,0.0%,,
0 to 4 years,Kootenay Boundary D,Men+,-1.9%,,
5 to 9 years,Kootenay Boundary D,Men+,-2.0%,,
10 to 14 years,Kootenay Boundary D,Men+,-2.5%,,
15 to 19 years,Kootenay Boundary D,Men+,-1.9%,,
20 to 24 years,Kootenay Boundary D,Men+,-1.7%,,
25 to 29 years,Kootenay Boundary D,Men+,-1.4%,,
30 to 34 years,Kootenay Boundary D,Men+,-2.3%,,
35 to 39 years,Kootenay Boundary D,Men+,-2.2%,,
40 to 44 years,Kootenay Boundary D,Men+,-2.3%,,
45 to 49 years,Kootenay Boundary D,Men+,-2.6%,,
50 to 54 years,Kootenay Boundary D,Men+,-3.0%,,
55 to 59 years,Kootenay Boundary D,Men+,-4.7%,,
60 to 64 years,Kootenay Boundary D,Men+,-5.8%,,
65 to 69 years,Kootenay Boundary D,Men+,-6.1%,,
70 to 74 years,Kootenay Boundary D,Men+,-5.3%,,
75 to 79 years,Kootenay Boundary D,Men+,-3.1%,,
80 to 84 years,Kootenay Boundary D,Men+,-1.9%,,
85 to 89 years,Kootenay Boundary D,Men+,-0.8%,,
90 to 94 years,Kootenay Boundary D,Men+,-0.2%,,
95 to 99 years,Kootenay Boundary D,Men+,0.0%,,
100 years and over,Kootenay Boundary D,Men+,0.0%,,
0 to 4 years,Kootenay Boundary E,Men+,-1.7%,,
5 to 9 years,Kootenay Boundary E,Men+,-2.5%,,
10 to 14 years,Kootenay Boundary E,Men+,-2.3%,,
15 to 19 years,Kootenay Boundary E,Men+,-2.3%,,
20 to 24 years,Kootenay Boundary E,Men+,-2.2%,,
25 to 29 years,Kootenay Boundary E,Men+,-2.2%,,
30 to 34 years,Kootenay Boundary E,Men+,-2.2%,,
35 to 39 years,Kootenay Boundary E,Men+,-3.5%,,
40 to 44 years,Kootenay Boundary E,Men+,-3.2%,,
45 to 49 years,Kootenay Boundary E,Men+,-4.2%,,
50 to 54 years,Kootenay Boundary E,Men+,-3.5%,,
55 to 59 years,Kootenay Boundary E,Men+,-3.2%,,
60 to 64 years,Kootenay Boundary E,Men+,-5.8%,,
65 to 69 years,Kootenay Boundary E,Men+,-5.5%,,
70 to 74 years,Kootenay Boundary E,Men+,-4.0%,,
75 to 79 years,Kootenay Boundary E,Men+,-2.8%,,
80 to 84 years,Kootenay Boundary E,Men+,-1.0%,,
85 to 89 years,Kootenay Boundary E,Men+,-0.2%,,
90 to 94 years,Kootenay Boundary E,Men+,-0.2%,,
95 to 99 years,Kootenay Boundary E,Men+,0.0%,,
100 years and over,Kootenay Boundary E,Men+,0.0%,,
0 to 4 years,Midway,Men+,-1.5%,,
5 to 9 years,Midway,Men+,-0.8%,,
10 to 14 years,Midway,Men+,-0.8%,,
15 to 19 years,Midway,Men+,-2.3%,,
20 to 24 years,Midway,Men+,-2.3%,,
25 to 29 years,Midway,Men+,-2.3%,,
30 to 34 years,Midway,Men+,-1.5%,,
35 to 39 years,Midway,Men+,-1.5%,,
40 to 44 years,Midway,Men+,-1.5%,,
45 to 49 years,Midway,Men+,-2.3%,,
50 to 54 years,Midway,Men+,-2.3%,,
55 to 59 years,Midway,Men+,-3.0%,,
60 to 64 years,Midway,Men+,-6.8%,,
65 to 69 years,Midway,Men+,-7.5%,,
70 to 74 years,Midway,Men+,-6.0%,,
75 to 79 years,Midway,Men+,-4.5%,,
80 to 84 years,Midway,Men+,-2.3%,,
85 to 89 years,Midway,Men+,-1.5%,,
90 to 94 years,Midway,Men+,-0.8%,,
95 to 99 years,Midway,Men+,0.0%,,
100 years and over,Midway,Men+,0.0%,,
0 to 4 years,Montrose,Men+,-3.0%,,
5 to 9 years,Montrose,Men+,-4.0%,,
10 to 14 years,Montrose,Men+,-3.0%,,
15 to 19 years,Montrose,Men+,-2.0%,,
20 to 24 years,Montrose,Men+,-3.0%,,
25 to 29 years,Montrose,Men+,-3.5%,,
30 to 34 years,Montrose,Men+,-2.5%,,
35 to 39 years,Montrose,Men+,-2.5%,,
40 to 44 years,Montrose,Men+,-2.0%,,
45 to 49 years,Montrose,Men+,-3.0%,,
50 to 54 years,Montrose,Men+,-1.5%,,
55 to 59 years,Montrose,Men+,-3.5%,,
60 to 64 years,Montrose,Men+,-5.0%,,
65 to 69 years,Montrose,Men+,-5.0%,,
70 to 74 years,Montrose,Men+,-3.5%,,
75 to 79 years,Montrose,Men+,-1.5%,,
80 to 84 years,Montrose,Men+,-1.5%,,
85 to 89 years,Montrose,Men+,-0.5%,,
90 to 94 years,Montrose,Men+,-0.5%,,
95 to 99 years,Montrose,Men+,0.0%,,
100 years and over,Montrose,Men+,0.0%,,
0 to 4 years,Nakusp,Men+,-1.9%,,
5 to 9 years,Nakusp,Men+,-1.9%,,
10 to 14 years,Nakusp,Men+,-1.6%,,
15 to 19 years,Nakusp,Men+,-2.8%,,
20 to 24 years,Nakusp,Men+,-2.5%,,
25 to 29 years,Nakusp,Men+,-1.9%,,
30 to 34 years,Nakusp,Men+,-2.2%,,
35 to 39 years,Nakusp,Men+,-2.5%,,
40 to 44 years,Nakusp,Men+,-2.2%,,
45 to 49 years,Nakusp,Men+,-2.2%,,
50 to 54 years,Nakusp,Men+,-3.8%,,
55 to 59 years,Nakusp,Men+,-3.4%,,
60 to 64 years,Nakusp,Men+,-3.1%,,
65 to 69 years,Nakusp,Men+,-5.6%,,
70 to 74 years,Nakusp,Men+,-3.4%,,
75 to 79 years,Nakusp,Men+,-3.1%,,
80 to 84 years,Nakusp,Men+,-2.2%,,
85 to 89 years,Nakusp,Men+,-0.9%,,
90 to 94 years,Nakusp,Men+,0.0%,,
95 to 99 years,Nakusp,Men+,0.0%,,
100 years and over,Nakusp,Men+,0.0%,,
0 to 4 years,Nelson,Men+,-1.9%,,
5 to 9 years,Nelson,Men+,-2.5%,,
10 to 14 years,Nelson,Men+,-2.7%,,
15 to 19 years,Nelson,Men+,-2.6%,,
20 to 24 years,Nelson,Men+,-2.5%,,
25 to 29 years,Nelson,Men+,-3.6%,,
30 to 34 years,Nelson,Men+,-4.0%,,
35 to 39 years,Nelson,Men+,-3.8%,,
40 to 44 years,Nelson,Men+,-3.7%,,
45 to 49 years,Nelson,Men+,-3.5%,,
50 to 54 years,Nelson,Men+,-2.9%,,
55 to 59 years,Nelson,Men+,-2.7%,,
60 to 64 years,Nelson,Men+,-2.9%,,
65 to 69 years,Nelson,Men+,-2.8%,,
70 to 74 years,Nelson,Men+,-2.6%,,
75 to 79 years,Nelson,Men+,-1.5%,,
